regime,left,right,length,source,metric,mean,ci95_low,ci95_high
8b_topk,synthid_depth2,null,1024,outputs/self_bleu_topk/matched_v2/summary.json,repeated_4gram_fraction,9.794319294817999e-06,-0.007326150832517127,0.007532810969637615
8b_topk,synthid_depth2,null,1024,outputs/self_bleu_topk/matched_v2/summary.json,self_bleu,0.0019462194161244234,-0.0034138230248430663,0.00716536931538288
8b_topk,synthid_depth2,null,400,outputs/self_bleu_topk/matched_v2/summary.json,distinct_3,0.0046984924623115565,-0.004547738693467338,0.014324120603015068
8b_topk,synthid_depth2,null,400,outputs/self_bleu_topk/matched_v2/summary.json,repeated_4gram_fraction,-0.0036020151133501176,-0.01128652392947102,0.0038035264483627256
8b_topk,synthid_depth2,null,400,outputs/self_bleu_topk/matched_v2/summary.json,self_bleu,0.0032238068796696107,-0.0013810884382999017,0.007992833832532967
8b_topk,synthid_depth10,null,1024,outputs/self_bleu_topk/matched_v2/summary.json,distinct_3,1.9569471624283354e-05,-0.01248532289628179,0.011752201565557747
8b_topk,synthid_depth10,null,1024,outputs/self_bleu_topk/matched_v2/summary.json,repeated_4gram_fraction,0.003006856023506368,-0.007063418217433885,0.014261263467189022
8b_topk,synthid_depth10,null,1024,outputs/self_bleu_topk/matched_v2/summary.json,self_bleu,0.006359981379909,0.0006081158265640995,0.01191014176519921
8b_topk,synthid_depth10,null,400,outputs/self_bleu_topk/matched_v2/summary.json,distinct_3,0.008467336683417084,0.0017587939698492502,0.01555339195979901
8b_topk,synthid_depth10,null,400,outputs/self_bleu_topk/matched_v2/summary.json,repeated_4gram_fraction,-0.006624685138539037,-0.01272040302267001,-0.0007808564231738014
8b_topk,synthid_depth10,null,400,outputs/self_bleu_topk/matched_v2/summary.json,self_bleu,0.007149942585065358,0.002180079239769966,0.012029782595768649
8b_topk,synthid_depth30,null,1024,outputs/self_bleu_topk/matched_v2/summary.json,distinct_3,-0.001634050880626212,-0.011754647749510757,0.008503669275929547
8b_topk,synthid_depth30,null,1024,outputs/self_bleu_topk/matched_v2/summary.json,repeated_4gram_fraction,0.001008814887365329,-0.007816356513222322,0.009951518119490693
8b_topk,synthid_depth30,null,1024,outputs/self_bleu_topk/matched_v2/summary.json,self_bleu,0.016652331736499378,0.010961800393058775,0.022351157157997056
8b_topk,synthid_depth30,null,400,outputs/self_bleu_topk/matched_v2/summary.json,distinct_3,0.0075125628140703515,-0.00012625628140702447,0.015352386934673359
8b_topk,synthid_depth30,null,400,outputs/self_bleu_topk/matched_v2/summary.json,repeated_4gram_fraction,-0.007506297229219139,-0.01413287153652392,-0.0011838790931989883
8b_topk,synthid_depth30,null,400,outputs/self_bleu_topk/matched_v2/summary.json,self_bleu,0.018729020848114373,0.01206190044171605,0.025521455662049948
0p6b_full,prc,synthid_depth2,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,-0.011614481409001955,-0.02988356164383561,0.005384050880626221
