family,paper_ref,construction,generation_model,detector_model,detector,eta,t,block_length,tokens,detected,n_watermarked,tpr_percent,ci_lower_percent,ci_upper_percent
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.2,3,,3136,216,500,43.2,38.926225373658454,47.57746565661867
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.2,3,,7496,403,500,80.6,76.9060370280767,83.82735333567634
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.2,3,,11856,429,500,85.8,82.46703326752247,88.5870639554304
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.2,3,,14336,433,500,86.6,83.33339846536646,89.30849981284793
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Posterior mean,0.05,3,,520,294,500,58.8,54.43465920099858,63.0311524068781
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Posterior mean,0.05,3,,692,379,500,75.8,71.85836488729677,79.34821914488714
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Posterior mean,0.05,3,,864,416,500,83.2,79.67256709103735,86.22117670231559
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Posterior mean,0.05,3,,1280,463,500,92.6,89.96652466777695,94.5838815248988
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Entropy-weighted,0.05,3,,520,233,500,46.6,42.27007774569099,50.981767769447586
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Entropy-weighted,0.05,3,,692,323,500,64.6,60.311599778212845,68.66576948030983
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Entropy-weighted,0.05,3,,864,380,500,76.0,72.0673202993374,79.5362139966619
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Entropy-weighted,0.05,3,,1280,434,500,86.8,83.55052092686175,89.488327615168
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Posterior mean,0.1,3,,848,264,500,52.8,48.419577166421604,57.13772652699372
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Posterior mean,0.1,3,,1256,376,500,75.2,71.23215407533253,78.78357916540524
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Posterior mean,0.1,3,,1664,423,500,84.6,81.1734636678946,87.49893197216598
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Posterior mean,0.1,3,,3072,454,500,90.8,87.94612618638256,93.0317276319548
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Entropy-weighted,0.1,3,,848,201,500,40.2,35.9928740326145,44.55656304043193
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Entropy-weighted,0.1,3,,1256,324,500,64.8,60.51540371141233,68.85891581092574
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Entropy-weighted,0.1,3,,1664,383,500,76.6,72.69485494684876,80.09953014059667
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Entropy-weighted,0.1,3,,3072,440,500,88.0,84.85804013755894,90.5625099873631
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Posterior mean,0.15,3,,1648,278,500,55.6,51.218689304972585,59.89591808185805
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Posterior mean,0.15,3,,3160,410,500,82.0,78.39253300173655,85.1195092087241
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Posterior mean,0.15,3,,4672,429,500,85.8,82.46703326752247,88.5870639554304
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-0.6B-Base,Posterior mean,0.15,3,,6144,438,500,87.6,84.42125871122163,90.20539088606967
